Topic Category,PDF,Text
total number of health or treatment terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,19 TAC 103.1401(a) Any person who has reasonable cause to believe that a child’s physical or mental health or welfare has been adversely affected by abuse or neglect by any person shall immediately make a report as required by law.
number of times transfer or referral to juvenile justice program is mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"The term includes teachers, nurses, doctors, day-care employees, juvenile probation officers, and juvenile de- tention or correctional officers."
total number of drug or alcohol terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"Family Code 261.101(b-1) An employee may not use or threaten to use the refusal of a par- ent, guardian, or managing or possessory conservator to adminis- ter or consent to the administration of a psychotropic drug to a child, or to consent to any other psychiatric or psychological testing or treatment of the child, as the sole basis for making a report of neglect, unless the employee has cause to believe that the refusal: 1."
number of times transfer or referral to juvenile justice program is mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"Family Code 261.101(d) If the alleged or suspected abuse or neglect involves a person re- sponsible for the care, custody, or welfare of the child, the report must be made to DFPS, unless the report is made to a state agency under item 4, below, or the report involves a juvenile justice program or facility [see JJAEPS, below]."
number of times transfer or referral to juvenile justice program is mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"Family Code 261.001(5) Any report of alleged abuse, neglect, or exploitation, as those terms are defined in Family Code 261.405, in a juvenile justice program or facility shall be made to the Texas Juvenile Justice Department and a local law enforcement agency for investigation."
number of times transfer or referral to juvenile justice program is mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,The term “juvenile justice program” includes a juvenile justice alternative education program.
total number of health or treatment terms mentioned,FFG_LEGAL_-_Student_Welfare_Child_Abuse_and_Neglect_LEGAL.pdf,"19 TAC 103.1401(b) The policies must require every school employee, agent, or con- tractor who suspects a child's physical or mental health or welfare has been adversely affected by abuse or neglect to submit a writ- ten or oral report to at least one of the authorities listed above [see To Whom Reported, above] within 24 hours or less, as determined by the board, after learning of facts giving rise to the suspicion."
total number of health or treatment terms mentioned,FFG_LOCAL_-_Student_Welfare_Child_Abuse_and_Neglect_LOCAL.pdf,"Any person who has reasonable cause to believe that a child’s physical or mental health or welfare has been adversely affected by abuse or neglect has a legal responsibility, under state law, to immediately report the suspected abuse or neglect to an appropri- ate authority."
total number of health or treatment terms mentioned,FFG_LOCAL_-_Student_Welfare_Child_Abuse_and_Neglect_LOCAL.pdf,"Any District employee, agent, or contractor who suspects a child’s physical or mental health or welfare has been ad- versely affected by abuse or neglect."
total number of drug or alcohol terms mentioned,FFG_LOCAL_-_Student_Welfare_Child_Abuse_and_Neglect_LOCAL.pdf,"In accordance with law, an employee is prohibited from using or threatening to use a parent’s refusal to consent to administration of a psychotropic drug or to any other psychiatric or psychological testing or treatment of a child as the sole basis for making a report of neglect, unless the employee has cause to believe that the re- fusal: 1."
number of times transfer or referral to juvenile justice program is mentioned,FFG_LOCAL_-_Student_Welfare_Child_Abuse_and_Neglect_LOCAL.pdf,"However, if the suspected abuse or neglect involves a person re- sponsible for the care, custody, or welfare of the child, the report must be made to DFPS, unless the report is to the state agency that operates, licenses, certifies, or registers the facility where the suspected abuse or neglect took place; or the report is to the Texas Juvenile Justice Department as a report of suspected abuse or neglect in a juvenile justice program or facility."
total number of disciplinary terms mentioned,FFG_LOCAL_-_Student_Welfare_Child_Abuse_and_Neglect_LOCAL.pdf,"Violates Board policy and may be subject to disciplinary ac- tion, including possible termination of employment; and 4."
total number of drug or alcohol terms mentioned,FMA_LEGAL_-_Student_Activities_School-Sponsored_Publications_LEGAL.pdf,"Might reasonably be perceived to advocate drug or alcohol use, irresponsible sex, or conduct otherwise inconsistent with the shared values of a civilized social order."
total number of drug or alcohol terms mentioned,FNAA_LOCAL_-_Student_Expression_Distribution_of_Nonschool_Literature_LOCAL.pdf,"The materials promote illegal use of drugs, alcohol, or other controlled substances."
total number of disciplinary terms mentioned,FNAA_LOCAL_-_Student_Expression_Distribution_of_Nonschool_Literature_LOCAL.pdf,"Failure to comply with this policy regarding distribution of non- school literature shall result in appropriate administrative action, in- cluding but not limited to confiscation of nonconforming materials, suspension of a noncurriculum-related student group’s use of Dis- trict facilities, and/or other disciplinary action in accordance with the Student Code of Conduct."
total number of drug or alcohol terms mentioned,FNA_LEGAL_-_Student_Rights_and_Responsibilities_Student_Expression_LEGAL.pdf,"Dist., 393 U.S. 503 (1969) [See also FNCI] The special characteristics of the school environment and the gov- ernmental interest in stopping student drug abuse allow a district to restrict student expression that it reasonably regards as promoting illegal drug use."
total number of drug or alcohol terms mentioned,FNA_LEGAL_-_Student_Rights_and_Responsibilities_Student_Expression_LEGAL.pdf,Homework and classroom assignments must be judged by ordinary academic standards of substance and relevance and against other legitimate pedagogical concerns identified by a district.
total number of disciplinary terms mentioned,FNA_LOCAL_-_Student_Rights_and_Responsibilities_Student_Expression_LOCAL.pdf,Are not in a disciplinary placement at the time of the speaking event.
total number of drug or alcohol terms mentioned,FNA_LOCAL_-_Student_Rights_and_Responsibilities_Student_Expression_LOCAL.pdf,"The student may not engage in speech that: •Is obscene, vulgar, offensively lewd, or indecent; •Creates reasonable cause to believe that the speech would result in material and substantial interference with school ac- tivities or the rights of others; •Promotes illegal drug use; •Violates the intellectual property rights, privacy rights, or other rights of another person; •Contains defamatory statements about public figures or oth- ers; or •Advocates imminent lawless action and is likely to incite or produce such action."
total number of disciplinary terms mentioned,FNA_LOCAL_-_Student_Rights_and_Responsibilities_Student_Expression_LOCAL.pdf,Students are not eligible to volunteer if they were in a disciplinary placement during any part of the spring semester.
total number of drug or alcohol terms mentioned,FNA_LOCAL_-_Student_Rights_and_Responsibilities_Student_Expression_LOCAL.pdf,"The student shall stay on the subject, and the student shall not en- gage in speech that: •Is obscene, vulgar, offensively lewd, or indecent; •Creates reasonable cause to believe that the speech would result in material and substantial interference with school ac- tivities or the rights of others; •Promotes illegal drug use; •Violates the intellectual property rights, privacy rights, or other rights of another person; •Contains defamatory statements about public figures or oth- ers; or •Advocates imminent lawless action and is likely to incite or produce such action."
total number of drug or alcohol terms mentioned,FNA_LOCAL_-_Student_Rights_and_Responsibilities_Student_Expression_LOCAL.pdf,Homework and classroom work shall be judged by ordi- nary academic standards of substance and relevance and against other legitimate pedagogical concerns identified by the school.
total number of disciplinary terms mentioned,FNCA_LOCAL_-_Student_Conduct_Dress_Code_LOCAL.pdf,"Students who violate d ress and grooming standards established for such an activity may be removed or excluded from the activity for a period determined by the principal or sponsor and may be subject to other disciplinary action, as specified in the Student Code of Conduct."
